school,latitude,longitude
Lilburn Elementary School,33.891944,-84.1525
Lilburn Middle School,33.8884369,-84.1443608
Lovin Elementary School,33.923072149999996,-83.92216514047108
Magill Elementary School,33.8388041,-83.94180889351506
Mason Elementary School,33.996340599999996,-84.11875826514117
McConnell Middle School,33.8936645,-83.9155713
McKendree Elementary School,33.977778,-84.026944
Meadowcreek Elementary School,33.921389,-84.165278
Meadowcreek High School,33.9223249,-84.1482496
Mill Creek High School,34.0787598,-83.87857947577518
Minor Elementary School,33.9176031,-84.129082
Moore Middle School,33.939504,-84.02142070791817
Mountain Park Elementary School,33.84004165,-84.11523316317789
Mountain View High School,34.050833,-83.951944
Mulberry Elementary School,34.031667,-83.8625
Nesbit Elementary School,33.875556,-84.198889
Norcross Elementary School,33.9451015,-84.2071416
Norcross High School,33.966946199999995,-84.21201888315217
North Gwinnett High School,34.085417899999996,-84.07018637617647
North Gwinnett Middle School,34.07901495,-84.0614419052022
Northbrook Middle School,34.005278,-84.0675
Norton Elementary School,33.8098983,-84.0098305
Osborne Middle School,34.0780832,-83.8737326
Parkview High School,33.8601046,-84.1151931
Parsons Elementary School,34.013333,-84.091111
Partee Elementary School,33.7936923,-84.0537747
Patrick Elementary School,34.0890589,-83.95743417337643
Peachtree Elementary School,33.9628786,-84.2365878
Peachtree Ridge High School,34.013076100000006,-84.08724292027458
Pharr Elementary School,33.89058205,-84.00559476703074
Pinckneyville Middle School,33.984457899999995,-84.22906339380658
Puckett's Mill Elementary School,34.065,-83.931944
Radloff Middle School,33.945556,-84.140278
Richards Middle School,33.928232699999995,-84.01967375009521
Riverside Elementary School,34.093371649999995,-84.09696670561533
Roberts Elementary School,34.07246485,-84.05124209045074
Rock Springs Elementary School,34.05,-84.006111
Rockbridge Elementary School,33.8996161,-84.1950312
Rosebud Elementary School,33.818056,-83.964444
Seckinger High School,34.079722,-83.911667
Shiloh Elementary School,33.822778,-84.069167
Shiloh High School,33.8234393,-84.0707471
Shiloh Middle School,33.825556,-84.073056
Simonton Elementary School,33.936944,-83.956111
Simpson Elementary School,33.99882695,-84.22944559794936
Snellville Middle School,33.8337177,-84.0032438
South Gwinnett High School,33.854011650000004,-84.00809573876323
Starling Elementary School,33.902589,-83.9656687
Stripling Elementary School,33.943889,-84.230833
Sugar Hill Elementary School,34.0997823,-84.040009
Summerour Middle School,33.940935,-84.2021414
Suwanee Elementary School,34.0487122,-84.054632
Sweetwater Middle School,33.926885850000005,-84.10719732683302
Sycamore Elementary School,34.1258994,-84.04469191618715
Taylor Elementary School,34.0102749,-83.99586753708766
Trickum Middle School,33.88643685,-84.11982679562503
Trip Elementary School,33.8720667,-83.9604686
Twin Rivers Middle School,34.045278,-83.945833
Walnut Grove Elementary School,34.0175894,-84.023106
White Oak Elementary School,34.14610345,-84.06633049999908
Winn Holt Elementary School,33.9263039,-83.9991763
Woodward Mill Elementary School,34.025,-83.9875
